DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
0,0,0,0
0,0,0,0
22,0,0,22
167,65,29,196
294,88,45,339
174,0,0,174
173,0,0,173
95,0,0,95
412,0,0,412
338,0,0,338
285,0,0,285
160,0,0,160
183,0,0,183
57,0,0,57
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,0,0,8
82,0,0,82
98,0,0,98
242,0,0,242
166,0,0,166
131,0,0,131
471,0,0,471
379,0,0,379
358,0,0,358
310,0,0,310
227,112,35,261
69,53,16,85
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
17,0,0,17
45,0,0,45
152,0,0,152
354,0,0,354
403,23,20,424
185,0,0,185
534,53,51,585
359,31,29,388
270,530,411,682
237,571,355,591
154,455,192,345
63,51,15,79
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
38,0,0,38
217,14,6,222
194,605,362,557
226,740,570,795
177,914,822,999
301,756,734,1034
446,389,384,830
387,0,0,387
396,0,0,396
284,0,0,284
203,15,4,208
78,7,2,80
3,0,0,3
